CensusTract,State,County,Urban,POP2010,OHU2010,NUMGQTRS,PCTGQTRS,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LAPOP1_10,LALOWI1_10,LALOWI05_10,LALOWI1_20,lasnaphalf,lasnaphalfshare,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
17031825700,Illinois,Cook,1,4206,1431,307,0.072991,1,26.4,39375,122.8675345,55.97411014,1888.04115,55.97411014,297.059024,0.207588417,1997,1101,394,1096,2604,23,0,31,452,805,123,320
17031826100,Illinois,Cook,1,6414,2203,7,0.0010914,1,18.2,54583,142.0347312,61.91635669,1334.754862,61.91635669,313.1588724,0.1421511,3199,1994,595,1934,3434,18,0,103,925,1525,255,519
17031826202,Illinois,Cook,1,5873,2061,0,0,1,18.5,52000,2942.180423,901.358591,2384.442246,901.358591,412.3836759,0.20008912,2587,1759,599,1561,3701,19,0,17,575,876,154,432
17031826401,Illinois,Cook,1,4072,1336,14,0.0034381,1,21.5,57578,33.31595612,15.93124008,1803.978575,15.93124008,316.8424683,0.237157536,1855,1272,318,182,3791,20,3,7,69,98,151,314
17031826700,Illinois,Cook,1,5569,1972,0,0,1,24.2,56598,416.5738475,152.1972929,2375.973373,152.1972929,559.6216243,0.283783785,2215,1703,369,213,5250,2,0,8,96,81,323,588
17031826800,Illinois,Cook,1,5436,1746,0,0,1,34.3,35954,579.8914984,261.9562212,2313.015252,261.9562212,334.178789,0.191396786,3126,1745,495,1668,2590,3,1,39,1135,2123,206,420
17031827000,Illinois,Cook,1,3624,1188,0,0,1,32.3,41304,2685.024325,1656.420736,2278.08162,1656.420736,568.2524755,0.478327,2357,1111,350,144,3313,4,9,17,137,135,270,629
17031827100,Illinois,Cook,1,2716,873,0,0,1,31.4,31574,2067.907523,1335.81981,1718.334032,1335.81981,372.8437504,0.427083334,1615,821,258,78,2448,57,0,2,131,134,216,410
17031827200,Illinois,Cook,1,4140,1392,0,0,1,29.6,39200,1140.895178,611.4729563,2280.805503,611.4729563,429.8391514,0.308792494,2407,1208,502,486,2979,23,0,24,628,818,153,482
17031827300,Illinois,Cook,1,2947,977,0,0,1,38.2,43341,376.1046193,233.90287,1631.748263,233.90287,278.8137382,0.285377419,2141,980,289,166,2376,109,0,13,283,385,220,319
17031827500,Illinois,Cook,1,5382,1514,52,0.0096618,1,35.5,29797,990.4715174,609.2274204,2792.967789,609.2274204,390.2721078,0.257775501,3518,1815,455,999,2937,5,0,7,1434,2044,293,587
17031827700,Illinois,Cook,1,2902,964,21,0.0072364,1,33.9,39205,2495.701669,1605.099151,1849.428541,1605.099151,353.260682,0.36645299,1869,934,220,476,2230,23,0,11,162,217,91,343
17031828100,Illinois,Cook,1,4844,2007,0,0,1,11.4,59643,86.87125969,10.68402028,246.3319037,10.68402028,50.34635823,0.02508538,1605,1131,725,3780,695,32,3,12,322,572,52,180
17031828300,Illinois,Cook,1,3264,1417,8,0.002451,1,12.8,55962,2381.558591,893.4951032,1235.121063,893.4951032,117.545634,0.08295387,1437,657,594,2206,844,21,1,14,178,231,112,134
17031828402,Illinois,Cook,1,3843,1724,112,0.0291439,1,12.2,54954,0.09149453,0.042971589,856.0680745,0.042971589,143.3593437,0.083155072,1414,771,765,2002,1566,38,2,7,228,300,219,247
17031828504,Illinois,Cook,1,5977,1807,27,0.0045173,1,30.2,39360,2049.553721,791.7707593,2067.892557,791.7707593,484.1102555,0.267908276,3053,2100,487,1824,3595,25,2,12,519,654,133,649
17031828506,Illinois,Cook,1,8544,3185,0,0,1,24.5,47870,6662.304105,2448.446943,3580.364696,2448.446943,576.7734547,0.181090567,4297,2323,964,2955,5079,71,0,24,415,681,105,586
17031828702,Illinois,Cook,1,4916,1766,169,0.0343775,1,14.2,57188,4780.706153,2285.830689,2352.658606,2285.830689,243.144925,0.137681158,2442,1236,733,1086,3538,7,7,4,274,399,77,247
17031829000,Illinois,Cook,1,1327,450,13,0.0097965,1,63.8,21910,391.8075775,328.8480841,937.936739,328.8480841,256.2554853,0.569456634,1200,447,133,40,1223,0,0,0,64,84,202,299
17031829100,Illinois,Cook,1,4144,1255,8,0.0019305,1,42.4,29886,89.4152289,54.47324193,1484.256062,54.47324193,226.2332897,0.180265569,2368,1371,329,1956,906,7,2,41,1232,2787,240,403
17031829402,Illinois,Cook,1,3346,1509,0,0,1,21.2,43352,3.053737372,0.904705374,1648.999577,0.904705374,332.0941782,0.220075665,1327,787,491,1147,1969,44,0,4,182,197,115,318
17031829700,Illinois,Cook,1,4349,1256,0,0,1,34.3,43667,3756.688641,2042.017986,2194.206069,2042.017986,404.3224476,0.321912777,2134,1392,498,975,3194,18,0,18,144,259,265,482
17031830001,Illinois,Cook,1,2105,1144,0,0,1,13.6,50000,1687.273237,640.4751522,799.0408146,640.4751522,76.47335075,0.066847335,837,156,870,1980,67,10,0,4,44,89,115,74
17031830400,Illinois,Cook,1,4453,1774,15,0.0033685,1,23.9,52524,45.40183735,19.13674879,1108.372588,19.13674879,213.8415835,0.120542043,1680,1145,547,1983,2118,21,0,19,312,349,79,297
17031838800,Illinois,Cook,1,3233,1087,1,0.0003093,1,42.9,27011,3102.442352,1979.137195,2070.476031,1979.137195,417.0241677,0.383646888,2032,1059,355,685,1772,3,0,17,756,1331,379,392
17031843900,Illinois,Cook,1,3533,1935,26,0.0073592,1,26.3,38494,708.999095,470.1183306,1051.271198,470.1183306,431.7497296,0.223126475,1977,635,563,129,3261,43,0,14,86,63,766,587
